   X ,   Y ,   Z ,  X0 ,  Y0 ,  Z0 ,   R ,   U ,   V ,   W ,  CN ,  F1 ,  F2 ,  F3
   0.137542E+02 ,   0.500845E+01 ,   0.101898E+01 ,     13.75 ,      5.01 ,      1.02 ,       1.018999 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,   0.335893E+00 ,  -0.413337E-02 ,   0.341861E+00
   0.172397E+02 ,   0.581318E+01 ,   0.113274E+01 ,     17.24 ,      5.81 ,      1.13 ,       1.132764 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.286546E+00 ,   0.217370E+00 ,   0.328511E+00
   0.196366E+02 ,   0.269672E+01 ,   0.902785E+00 ,     19.64 ,      2.70 ,      0.90 ,       0.902819 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.398287E+00 ,  -0.389634E+00 ,   0.819719E+00
   0.227822E+02 ,   0.103841E+01 ,   0.103842E+01 ,     22.78 ,      1.04 ,      1.04 ,       1.038437 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,   0.109190E+00 ,   0.103478E+01 ,   0.674952E+00
   0.259780E+02 ,   0.308852E+01 ,   0.106254E+01 ,     25.98 ,      3.09 ,      1.06 ,       1.062562 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.482890E+00 ,  -0.537193E+00 ,   0.604750E+00
   0.267955E+02 ,   0.506669E+01 ,   0.107664E+01 ,     26.80 ,      5.07 ,      1.08 ,       1.076655 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.121296E+00 ,  -0.274813E+00 ,  -0.202618E-01
   0.226146E+02 ,   0.222869E+01 ,   0.598670E+01 ,     22.61 ,      2.23 ,      5.99 ,       1.045797 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   6 ,   0.635117E+00 ,   0.727202E+00 ,   0.598280E+00
   0.296724E+02 ,   0.441254E+01 ,   0.983318E+00 ,     29.67 ,      4.41 ,      0.98 ,       0.983352 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.140032E+00 ,  -0.273473E+00 ,   0.104032E+01
   0.326564E+02 ,   0.678464E+01 ,   0.102170E+01 ,     32.66 ,      6.78 ,      1.02 ,       1.021729 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,   0.197937E+00 ,   0.175458E+00 ,   0.500879E+00
   0.362146E+02 ,   0.305873E+01 ,   0.115865E+01 ,     36.21 ,      3.06 ,      1.16 ,       1.158722 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,   0.575187E+00 ,  -0.134068E+00 ,   0.974001E+00
   0.378965E+02 ,   0.357661E+01 ,   0.246937E+01 ,     37.90 ,      3.58 ,      2.47 ,       1.035620 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.184950E+00 ,  -0.103196E+00 ,   0.350708E+00
   0.453804E+02 ,   0.382068E+01 ,   0.112471E+01 ,     45.38 ,      3.82 ,      1.12 ,       1.124767 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.251585E+00 ,  -0.271966E+00 ,   0.592534E+00
   0.540551E+02 ,   0.548875E+01 ,   0.107982E+01 ,     54.06 ,      5.49 ,      1.08 ,       1.079836 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.287698E+00 ,  -0.210532E+00 ,   0.265443E+00
   0.796525E+00 ,   0.109473E+02 ,   0.998356E+00 ,      0.80 ,     10.95 ,      1.00 ,       0.998366 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.100702E+01 ,   0.202192E+00 ,   0.199964E-01
   0.597171E+02 ,   0.363816E+01 ,   0.101403E+01 ,     59.72 ,      3.64 ,      1.01 ,       1.014058 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.472967E+00 ,   0.283063E+00 ,   0.750701E+00
   0.652513E+01 ,   0.303577E+01 ,   0.119808E+01 ,      6.53 ,      3.04 ,      1.20 ,       1.195946 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.652559E-01 ,   0.393927E-01 ,  -0.535878E-01
   0.832519E+01 ,   0.721914E+01 ,   0.113826E+01 ,      8.33 ,      7.22 ,      1.14 ,       1.138304 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.308185E+00 ,  -0.388998E+00 ,   0.806037E+00
   0.100688E+02 ,   0.850227E+01 ,   0.102899E+01 ,     10.07 ,      8.50 ,      1.03 ,       1.028998 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.251385E+00 ,  -0.758338E-01 ,   0.553932E+00
   0.118306E+02 ,   0.730894E+01 ,   0.151384E+01 ,     11.83 ,      7.31 ,      1.51 ,       1.153198 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,  -0.161812E+00 ,   0.168134E+00 ,   0.647404E+00
   0.120902E+02 ,   0.938530E+01 ,   0.100122E+01 ,     12.09 ,      9.39 ,      1.00 ,       1.001240 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,   0.546933E+00 ,   0.409152E-03 ,   0.581791E+00
   0.172186E+02 ,   0.830873E+01 ,   0.278375E+01 ,     17.22 ,      8.31 ,      2.78 ,       0.926097 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.718823E-01 ,  -0.561811E+00 ,   0.134789E+00
   0.183430E+02 ,   0.776008E+01 ,   0.110518E+01 ,     18.34 ,      7.76 ,      1.11 ,       1.105212 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.134885E+00 ,  -0.339364E+00 ,   0.290787E+00
   0.193869E+02 ,   0.568377E+01 ,   0.903656E+00 ,     19.39 ,      5.68 ,      0.90 ,       0.903689 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.151212E+00 ,  -0.238814E+00 ,   0.824099E+00
   0.208531E+02 ,   0.934612E+01 ,   0.109390E+01 ,     20.85 ,      9.35 ,      1.09 ,       1.093914 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,   0.106666E+00 ,  -0.233778E+00 ,   0.303053E+00
   0.225851E+02 ,   0.645632E+01 ,   0.100780E+01 ,     22.59 ,      6.46 ,      1.01 ,       1.007817 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.103861E+00 ,  -0.114275E+00 ,   0.337214E+00
   0.246458E+02 ,   0.102197E+02 ,   0.997323E+00 ,     24.65 ,     10.22 ,      1.00 ,       0.997364 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.107736E+00 ,  -0.603641E+00 ,   0.119519E+01
